Price,Close,High,Low,Open,Volume,STOCH_K,STOCH_D,CCI,WILLIAMS_R,MFI,ROC
Ticker,GOOG,GOOG,GOOG,GOOG,GOOG,,,,,,
Date,,,,,,,,,,,
2024-01-02,139.0603485107422,140.11157933353832,137.24687233323525,139.10021381811944,20071900,,,,,,
2024-01-03,139.85748291015625,140.5848651026956,137.93438480135126,138.10378954601114,18974300,,,,,,
2024-01-04,137.5457763671875,140.1314868491893,137.51588499085352,139.3493088962382,18253300,,,,,,
2024-01-05,136.8981170654297,138.3130313709,136.3600570579476,137.8566785176243,15433200,,,,,,
2024-01-08,140.02685546875,140.13646224097636,137.38634941623909,137.5059149117014,17645300,,,,,,
2024-01-09,142.0496063232422,142.28875255222104,139.28951917989716,139.5585567869784,19579700,,,,,,
2024-01-10,143.28517150878906,144.00756674748428,141.94997261434466,142.00975537019147,16641900,,,,,,
2024-01-11,143.15562438964844,146.13492493087236,141.7058318214897,144.37624467130036,17471100,,,,,,
2024-01-12,143.7235870361328,144.22179690011865,142.84673281018704,143.8232198864349,13995200,,,,,,
2024-01-16,143.5641632080078,145.31785654097203,142.54382728921001,142.9164812308532,19198900,,,,,,
2024-01-17,142.37841796875,142.89656049773194,140.0069340901008,142.3983506209844,17884500,,,,,,2.3860643911384205
2024-01-18,144.47091674804688,145.0637877637338,142.83678883362373,142.92646296940157,18876800,,,,,,3.2986678595197327
2024-01-19,147.4402313232422,147.50997279943743,145.27800229464944,145.7811839285456,27170900,,,,,,7.193572363604095
2024-01-22,147.18116760253906,149.47790782267836,147.0516281700249,148.17758735010327,21829200,,,,-17.508510054973485,,7.511462361600385
2024-01-23,148.14767456054688,148.32703801375334,146.66301892956406,147.19112015730613,14113600,,,,-10.140634208981949,69.3066119798369,5.799472583035481
2024-01-24,149.8117218017578,151.0273551642729,149.30353797719988,149.75192384274672,19245000,,,,-8.288052466806063,69.50713506801571,5.464369581463302
2024-01-25,153.08993530273438,154.20592059764948,150.6786012452732,151.1967437911235,21495100,,,,-6.253467602911804,76.81388244450945,6.842832158206891
2024-01-26,153.23939514160156,153.55825677724079,152.25294926518188,152.3226907453782,19494500,93.2373488435412,91.01029950235137,,-5.746433399658593,82.82048624833904,7.043922161595684
2024-01-29,154.28564453125,154.64435628217598,152.3725202610316,153.08994376288354,20909300,95.22131693172075,93.4104270052318,,-2.3361482022674167,83.15195539452455,7.3488685559050415
2024-01-30,152.50204467773438,154.48491023526253,152.2280201259667,153.45859911650206,26578900,92.4271884445726,93.62861807327819,119.53463566840328,-14.635853064356287,73.68462541915625,6.225705127244474
2024-01-31,141.29232788085938,145.06875215819224,141.04322293579585,144.86947124297328,43908600,63.936519073395885,83.86167481656308,-40.74134208385337,-91.21844151318872,61.92581440565591,-0.7628193256993487
2024-02-01,142.19908142089844,144.10223175163364,141.75068033157373,143.17556860257073,25526900,36.374008801079576,64.2459054396827,-41.12099582995418,-85.02367901921635,62.869973492059,-1.5725208770637544
2024-02-02,143.0260772705078,143.36487152419457,137.6753083385205,140.3855711430663,42116900,18.430134128900466,39.58022066779199,-66.1312198793918,-68.4674770808936,57.87152081716991,-2.993859961503287
2024-02-05,144.41110229492188,146.1448780760962,143.39476513051878,143.52428935490843,29254400,28.73447786500168,27.84620693166059,-20.44559492615998,-60.30541030488507,59.08459547164049,-1.882078633251305
2024-02-06,144.88938903808594,146.21462903442645,144.00257613276426,145.4374229018595,21517700,37.91342852005323,28.35934683798514,-20.0587677963784,-57.48682705406169,64.45596790718663,-2.199349758358371
2024-02-07,146.15484619140625,146.47370781934958,144.69012310103926,145.59685354666468,21436100,44.05945967687337,36.90245535397611,-11.191193933581081,-50.02938361043319,64.7319143161385,-2.4409809635527857
2024-02-08,146.6929168701172,147.08151996460657,145.895778028966,146.44381193251738,18241300,48.54176688069513,43.504885025873925,0.7473280325995731,-46.8584886934198,63.81896123685829,-4.178601565130413
2024-02-09,149.6821746826172,150.1554801411711,146.9021550913949,147.42029761378677,21877700,57.956527332480356,50.18591796334963,43.268595870804816,-29.242545698706024,63.839811360959544,-2.3213485381466725
2024-02-12,148.197509765625,150.05085116638458,148.0281202273602,149.00460735554043,17236100,61.969055674281,56.15578329581885,35.264196829295734,-37.99179858503124,63.24292324228284,-3.9460150580580278
2024-02-13,145.845947265625,147.5099663474504,144.59046391159575,145.54703351763573,18138500,60.305301747514875,60.07696158475877,-24.69185917986591,-51.8497504737182,57.880245244337694,-4.3645955214403624
2024-02-14,146.6132049560547,147.3007370328639,145.03387292424227,146.84237724693804,16651800,54.276737786525835,58.85036506944059,-24.010117450196777,-47.32823758167315,57.170919847204026,3.765864116615014
2024-02-15,143.42466735839844,144.24172368204728,141.37204501861007,143.9428099076388,26724300,44.90115304919615,53.16106419441231,-95.87884824806433,-66.11855279702031,50.38331844354692,0.8618803477867587
2024-02-16,141.25245666503906,143.96271957026013,141.01332565844572,143.69369718784262,21849700,35.94453218674187,45.04080767415464,-104.22423050662454,-78.71961306108103,44.176756231918496,-1.2400679927159541
2024-02-20,141.69088745117188,142.8158431757355,140.29590586273136,140.4354040215754,18625600,29.112501962883105,36.65272906627373,-102.12179548991084,-67.82432825324943,45.45465986623089,-1.88366046690418
2024-02-21,143.32501220703125,143.4645103629072,141.40192940073,142.12931155607185,16499600,32.90849951491649,32.6551778881805,-73.08707750039109,-54.730560140920154,54.51297924238986,-1.0797042084589537
2024-02-22,144.7997283935547,145.67656745304808,143.49440572228687,145.59685204688338,23024700,44.84367496882925,35.62155881554296,-32.24462272920115,-42.914086699342775,54.19981557961465,-0.9271795175897823
