Price,Adj Close,Close,High,Low,Open,Volume,STOCH_K,STOCH_D,CCI,WILLIAMS_R,MFI,ROC
Ticker,TQQQ,TQQQ,TQQQ,TQQQ,TQQQ,TQQQ,,,,,,
Date,,,,,,,,,,,,
2020-01-02,21.979873657226562,22.709999084472656,22.709999084472656,22.05500030517578,22.177499771118164,65536000,,,,,,
2020-01-03,21.382226943969727,22.092500686645508,22.5,21.809999465942383,21.822500228881836,72590000,,,,,,
2020-01-06,21.788724899291992,22.512500762939453,22.520000457763672,21.487499237060547,21.5674991607666,64047600,,,,,,
2020-01-07,21.762109756469727,22.485000610351562,22.69499969482422,22.290000915527344,22.53499984741211,53849600,,,,,,
2020-01-08,22.262969970703125,23.002500534057617,23.31999969482422,22.38249969482422,22.489999771118164,79582400,,,,,,
2020-01-09,22.824321746826172,23.582500457763672,23.71500015258789,23.18000030517578,23.5575008392334,72711600,,,,,,
2020-01-10,22.638015747070312,23.389999389648438,23.86750030517578,23.282499313354492,23.84749984741211,68802000,,,,,,
2020-01-13,23.429229736328125,24.207500457763672,24.219999313354492,23.577499389648438,23.6825008392334,58279200,,,,,,
2020-01-14,23.155813217163086,23.924999237060547,24.287500381469727,23.80500030517578,24.145000457763672,72868800,,,,,,
2020-01-15,23.170330047607422,23.940000534057617,24.282499313354492,23.704999923706055,23.94499969482422,66501600,,,,,,
2020-01-16,23.816370010375977,24.607500076293945,24.622499465942383,24.13249969482422,24.27750015258789,60550400,,,,,,8.355354770219492
2020-01-17,24.172056198120117,24.975000381469727,25.03499984741211,24.565000534057617,24.927499771118164,72201200,,,,,,13.047412493990018
2020-01-21,24.159957885742188,24.962499618530273,25.127500534057617,24.739999771118164,24.75749969482422,69441200,,,,,,10.882837412821145
2020-01-22,24.324495315551758,25.13249969482422,25.572500228881836,25.045000076293945,25.3075008392334,68074400,,,,-10.771124289530317,,11.774511952887433
2020-01-23,24.549516677856445,25.364999771118164,25.397499084472656,24.74250030517578,25.082500457763672,71794400,,,,-5.079569336191477,77.90129231498213,10.270619203171494
2020-01-24,23.91315460205078,24.707500457763672,25.802499771118164,24.377500534057617,25.725000381469727,119687200,,,,-25.376574225468474,73.42689569896311,4.7704864970314675
2020-01-27,22.434762954711914,23.18000030517578,23.587499618530273,22.545000076293945,23.0625,99313200,,,,-74.66193082933447,65.15089846533392,-0.897815690262882
2020-01-28,23.477619171142578,24.25749969482422,24.417499542236328,23.4950008392334,23.662500381469727,85931200,51.59535170855673,67.60452365372062,,-45.17543981952689,66.30849309679063,0.206544402003761
