Price,Adj Close,Close,High,Low,Open,Volume,STOCH_K,STOCH_D,CCI,WILLIAMS_R,MFI,ROC
Ticker,SPXU,SPXU,SPXU,SPXU,SPXU,SPXU,,,,,,
Date,,,,,,,,,,,,
2020-01-02,432.28814697265625,487.25,498.25,487.25,492.75,302044,,,,,,
2020-01-03,441.8255310058594,498.0,504.25,493.0,504.25,393624,,,,,,
2020-01-06,436.94598388671875,492.5,507.75,492.5,507.75,290656,,,,,,
2020-01-07,441.1601867675781,497.25,499.25,493.0,495.5,212728,,,,,,
2020-01-08,434.0625305175781,489.25,497.25,483.0,496.25,467020,,,,,,
2020-01-09,425.6341552734375,479.75,484.25,479.0,481.5,398584,,,,,,
2020-01-10,429.1829528808594,483.75,485.75,476.0,476.75,337348,,,,,,
2020-01-13,420.3109436035156,473.75,482.75,473.75,480.5,255068,,,,,,
2020-01-14,422.5289611816406,476.25,478.5,471.0,475.5,339456,,,,,,
2020-01-15,419.8673400878906,473.25,477.0,469.0,476.75,305260,,,,,,
2020-01-16,410.108154296875,462.25,467.5,461.25,466.75,251144,,,,,,-5.1308363263211865
2020-01-17,405.0067138671875,456.5,460.75,456.0,458.0,171828,,,,,,-8.333333333333337
2020-01-21,408.1119384765625,460.0,461.75,456.25,461.5,230420,,,,,,-6.598984771573601
2020-01-22,407.4465637207031,459.25,460.25,452.75,455.75,175880,,,,-88.18181818181817,,-7.642031171442931
2020-01-23,406.1157531738281,457.75,467.75,457.5,463.0,285636,,,,-90.9090909090909,30.26854823846719,-6.438426162493616
2020-01-24,417.6493835449219,470.75,476.5,455.0,455.5,450244,,,,-67.27272727272727,30.76980663827518,-1.8759770713913548
2020-01-27,437.3895568847656,493.0,496.75,486.25,495.0,643388,,,,-13.440860215053762,42.99800785485141,1.9121447028423777
2020-01-28,424.08154296875,478.0,488.75,473.75,486.25,496780,58.6759951819756,39.7824078650465,,-43.258426966292134,40.5011707058712,0.8970976253298124
2020-01-29,425.1905212402344,479.25,480.25,470.5,471.5,280512,67.84266184864227,56.43703252166463,,-39.77272727272727,42.255874499884094,0.6299212598425141
2020-01-30,420.9764404296875,474.5,493.0,473.5,489.75,739248,55.46688798093292,60.661848337183585,15.05864547862216,-50.56818181818182,54.39071718496484,0.2641310089804616
2020-01-31,443.8217468261719,500.25,505.0,477.25,478.0,741028,66.85606060606061,63.38853681187859,96.3957245836439,-9.090909090909092,58.01757039459421,8.220659816116815
2020-02-03,434.50616455078125,489.75,493.75,480.25,493.5,552208,70.3847687400319,64.23590577567514,65.31038080333823,-29.1866028708134,54.85132540496692,7.283680175246432
2020-02-04,414.544189453125,467.25,473.5,463.0,472.0,573812,63.1578947368421,66.79957469431153,-53.26743547501361,-72.2488038277512,52.76377566869925,1.5760869565217384
2020-02-05,400.12713623046875,451.0,460.5,450.25,453.5,477120,33.31148543837801,55.61804963841734,-128.7313683588031,-98.63013698630137,51.44546735865138,-1.7964071856287456
2020-02-06,396.57843017578125,447.0,451.75,446.0,447.0,262288,10.271991480061564,35.58045721842722,-143.38281943915766,-98.30508474576271,51.42546238317761,-2.348443473511741
2020-02-07,402.5669860839844,453.75,456.25,448.5,451.75,311476,5.400123829424956,16.32786691595484,-102.3323615160354,-86.86440677966102,55.117045743053204,-3.6112586298459926
2020-02-10,393.6949462890625,443.75,458.25,443.75,458.25,230160,4.943502824858746,6.871872711448421,-113.92002262843455,-99.99999999999999,51.576540547552,-9.989858012170384
2020-02-11,391.6987609863281,441.5,443.75,434.5,438.0,235540,7.688223744841115,6.010616799708271,-142.51734390485646,-90.0709219858156,51.17451248504261,-7.635983263598323
2020-02-12,384.3793640136719,433.25,437.25,432.25,435.25,260716,3.7678828203065855,5.466536463335481,-149.6731826200456,-98.6254295532646,47.03633457437212,-9.598330725091287
2020-02-13,385.71014404296875,434.75,440.5,430.75,439.5,269048,5.563617949375048,5.673241504840914,-128.01638362410426,-94.6127946127946,45.30829112702841,-8.377239199157005
